state,stars
TN,5.0
NJ,4.875
VT,4.5
XWY,4.5
XGL,4.333333333333333
TX,4.144724556489263
AL,4.083333333333333
VA,4.0
CA,3.9282868525896415
QC,3.844177900435198
NV,3.7558296030797593
AZ,3.7554631632263593
BAS,3.75
state,3.7364864864864864
WI,3.71846476133473
PA,3.716158590186879
XGM,3.7142857142857144
NC,3.6710081912166235
OH,3.6709010450055706
CON,3.6666666666666665
DUR,3.6666666666666665
SC,3.5886501481028725
IL,3.582804276509877
AB,3.5768470285949436
ON,3.537266300779582
CT,3.4705882352941178
DOW,3.25
NY,3.0636042402826855
GA,3.0
AK,2.857142857142857
NM,2.7142857142857144
NE,2.5833333333333335
UT,2.25
AR,2.0
WA,1.6842105263157894
FL,1.5110192837465564
BC,1.3333333333333333
